,Institución,# Publicaciones,# Autores,% Hombre,% Mujer,Producción Per Cápita,año
0,Agricola Super Ltd,1,1,100,0,1.0,2008
1,Bio Insumos Nativa,1,1,100,0,1.0,2008
2,Bioforest SA,2,5,100,0,0.4,2008
3,CONAMA Chilean Environm Commiss,1,1,0,100,1.0,2008
4,Centro de investigación Oceanográfica en el Pacífico Sur Oriental,1,2,100,0,0.5,2008
5,Forestal Mininco SA,1,1,100,0,1.0,2008
6,Hospital Guillermo Grant Benavente,1,3,67,33,0.3,2008
7,Hospital Las Higueras,1,8,60,40,0.1,2008
8,Hospital Regional de Puerto Montt,1,1,0,0,1.0,2008
9,Instituto de Investigaciones Agropecuarias,1,1,100,0,1.0,2008
10,Inst Invest Pesquera INPESCA,3,6,83,17,0.5,2008
11,Inst Nacl Invest Agropecuarias,1,3,67,33,0.3,2008
12,Servicio Agrícola y Ganadero,1,1,100,0,1.0,2008
13,Universidad Católica de la Santísima Concepción,33,38,73,27,0.9,2008
14,Universidad Católica del Maule,17,18,65,35,0.9,2008
15,Universidad de Concepción,657,798,66,34,0.8,2008
16,Universidad de Talca,109,146,74,26,0.7,2008
17,Universidad del Bío Bío,78,56,86,14,1.4,2008
18,Universidad del Desarrollo,3,2,50,50,1.5,2008
19,Universidad Santo Tomás,1,1,100,0,1.0,2008
20,Centro de Investigacion de Polimeros Avanzados,1,1,0,0,1.0,2008
21,Centro de Investigacion en Biotecnologia Silvoagricola,1,3,67,33,0.3,2008
22,Centro de Investigacion en Ecosistemas de la Patagonia,2,2,100,0,1.0,2008
23,Hospital Naval Almirante Adriazola,1,1,100,0,1.0,2008
24,Instituto de Ecologia y Biodiversidad,2,3,33,67,0.7,2008
25,Instituto de Investigaciones Agropecuarias,14,22,81,19,0.6,2008
26,Consorcio Genómica Forestal,1,2,100,0,0.5,2008
27,Museo Historia Natural de Concepción,1,1,100,0,1.0,2008
28,Servicio de Salud de Concepción,1,1,0,100,1.0,2008
29,Servicio de Salud del Maule,1,1,0,100,1.0,2008
30,Centro de Salud Familiar Mostazal,2,3,100,0,0.7,2008
0,Bioforest SA,3,4,100,0,0.8,2009
1,Clínica Sanatorio Alemán,1,1,100,0,1.0,2009
2,CODELCO,1,2,100,0,0.5,2009
3,Corp Nacl Cobre,1,1,0,100,1.0,2009
4,Corp Nacl Forestal,2,2,50,50,1.0,2009
5,Forestal Mininco SA,1,1,100,0,1.0,2009
6,Hospital Clínico Herminda Martin,4,18,72,28,0.2,2009
7,Hospital de Curicó,1,2,0,100,0.5,2009
8,Hospital del Trabajador de Santiago,4,5,100,0,0.8,2009
9,Hospital Guillermo Grant Benavente,2,5,80,20,0.4,2009
10,Hospital Las Higueras,1,1,0,100,1.0,2009
11,Hospital Regional de Concepción,7,13,58,42,0.5,2009
12,Hospital Regional de Talca,4,4,75,25,1.0,2009
13,Inst Invest Pesquera INPESCA,3,6,67,33,0.5,2009
14,Servicio Agrícola y Ganadero,1,1,100,0,1.0,2009
15,Universidad Adventista de Chile,1,2,50,50,0.5,2009
16,Universidad Autónoma de Chile,3,4,50,50,0.8,2009
17,Universidad Católica de la Santísima Concepción,52,73,54,46,0.7,2009
18,Universidad Católica del Maule,23,30,73,27,0.8,2009
19,Universidad de Concepción,738,847,65,35,0.9,2009
20,Universidad de Talca,135,173,69,31,0.8,2009
21,Universidad del Bío Bío,82,69,67,33,1.2,2009
22,Universidad Nacional Andrés Bello,1,1,100,0,1.0,2009
23,Universidad San Sebastián,1,1,100,0,1.0,2009
24,Universidad Santo Tomás,4,4,75,25,1.0,2009
25,Centro de Investigacion en Biotecnologia Silvoagricola,3,6,83,17,0.5,2009
26,Centro de Investigacion en Ecosistemas de la Patagonia,1,3,100,0,0.3,2009
27,Direccion General de Aguas,1,1,100,0,1.0,2009
28,Instituto de Ecologia y Biodiversidad,1,1,100,0,1.0,2009
29,Instituto de Investigaciones Agropecuarias,23,25,72,28,0.9,2009
30,Consorcio Genómica Forestal,1,1,100,0,1.0,2009
31,Observatorio Europeo Austral,1,1,100,0,1.0,2009
32,Centro de Salud Familiar Mostazal,1,3,100,0,0.3,2009
0,Bioforest SA,3,6,83,17,0.5,2010
1,Clínica Sanatorio Alemán,2,8,63,38,0.3,2010
2,Centro de investigación Oceanográfica en el Pacífico Sur Oriental,1,2,100,0,0.5,2010
3,Ctr Sangre Concepc,1,2,0,100,0.5,2010
4,Hospital Clínico Herminda Martin,1,1,100,0,1.0,2010
5,Hospital Guillermo Grant Benavente,4,6,50,50,0.7,2010
6,Hospital Regional de Concepción,4,9,63,38,0.4,2010
7,Hospital Regional de Rancagua,3,3,100,0,1.0,2010
8,Hospital Regional de Talca,1,1,0,0,1.0,2010
9,Inst Invest Pesquera INPESCA,2,2,100,0,1.0,2010
10,Ministerio de Obras Públicas,1,1,100,0,1.0,2010
11,Pontificia Universidad Católica de Chile,1,1,100,0,1.0,2010
12,Universidad Autónoma de Chile,6,7,43,57,0.9,2010
13,Universidad Católica de la Santísima Concepción,38,41,60,40,0.9,2010
14,Universidad Católica del Maule,28,33,76,24,0.8,2010
15,Universidad de Concepción,773,934,65,35,0.8,2010
16,Universidad de Santiago de Chile,1,1,100,0,1.0,2010
17,Universidad de Talca,145,190,68,32,0.8,2010
18,Universidad del Bío Bío,73,74,78,22,1.0,2010
19,Universidad del Desarrollo,2,3,100,0,0.7,2010
20,Universidad Diego Portales,1,3,67,33,0.3,2010
21,Universidad Metropolitana de Ciencias de la Educación,1,1,100,0,1.0,2010
22,Universidad Nacional Andrés Bello,1,1,100,0,1.0,2010
23,Universidad San Sebastián,8,11,44,56,0.7,2010
24,Universidad Santo Tomás,4,4,100,0,1.0,2010
25,Centro de Investigacion de Polimeros Avanzados,1,1,0,0,1.0,2010
26,Centro de Investigacion en Ecosistemas de la Patagonia,1,1,100,0,1.0,2010
27,Centro de Salud Familiar,1,1,100,0,1.0,2010
28,Centro de Sangre de Concepcion,2,3,0,100,0.7,2010
29,Instituto de Ecologia y Biodiversidad,2,3,67,33,0.7,2010
30,Instituto de Investigaciones Agropecuarias,20,29,79,21,0.7,2010
31,Consorcio Genómica Forestal,1,2,50,50,0.5,2010
32,Servicio de Salud del Maule,1,1,0,100,1.0,2010
33,Centro de Salud Familiar Mostazal,4,7,100,0,0.6,2010
0,Bioforest SA,5,3,100,0,1.7,2011
1,Clínica Sanatorio Alemán,7,11,91,9,0.6,2011
2,Corp Nacl Cobre,1,2,100,0,0.5,2011
3,Forestal Mininco SA,1,1,100,0,1.0,2011
4,Hospital Clínico Herminda Martin,4,6,100,0,0.7,2011
5,Hospital Guillermo Grant Benavente,2,2,50,50,1.0,2011
6,Hospital Las Higueras,4,5,60,40,0.8,2011
7,Hospital Regional de Concepción,5,4,100,0,1.3,2011
8,Hospital Regional de Rancagua,2,2,100,0,1.0,2011
9,Hospital Regional de Talca,4,6,67,33,0.7,2011
10,Instituto de Investigaciones Agropecuarias,2,3,100,0,0.7,2011
11,Inst Fomento Pesquero IFOP,1,1,0,100,1.0,2011
12,Red Conservacionista Patrimonio Nat Contulmo,1,1,100,0,1.0,2011
13,Universidad Autónoma de Chile,7,6,67,33,1.2,2011
14,Universidad Bolivariana,1,1,100,0,1.0,2011
15,Universidad Católica de la Santísima Concepción,43,62,61,39,0.7,2011
16,Universidad Católica del Maule,50,61,64,36,0.8,2011
17,Universidad de Concepción,763,956,68,32,0.8,2011
18,Universidad de la Frontera,1,1,100,0,1.0,2011
19,Universidad de Talca,156,207,68,32,0.8,2011
20,Universidad del Bío Bío,108,116,65,35,0.9,2011
21,Universidad del Desarrollo,9,9,78,22,1.0,2011
22,Universidad del Mar,1,1,100,0,1.0,2011
23,Universidad Diego Portales,1,1,100,0,1.0,2011
24,Universidad Nacional Andrés Bello,5,5,80,20,1.0,2011
25,Universidad San Sebastián,9,9,56,44,1.0,2011
26,Universidad Santo Tomás,3,5,80,20,0.6,2011
27,Astilleros y Maestranza de La Armada,1,1,100,0,1.0,2011
28,Centro de Estudios Avanzados en Fruticultura,1,1,100,0,1.0,2011
29,Centro de Investigacion de Polimeros Avanzados,13,3,50,50,4.3,2011
30,Centro de Optica y Fotonica,1,3,100,0,0.3,2011
31,Centro de Sangre de Concepcion,1,2,0,100,0.5,2011
32,Instituto de Ecologia y Biodiversidad,5,2,100,0,2.5,2011
33,Instituto de Investigaciones Agropecuarias,20,29,83,17,0.7,2011
34,Consorcio Genómica Forestal,2,2,100,0,1.0,2011
0,Bioforest SA,2,2,100,0,1.0,2012
1,Clínica Alemana,2,3,100,0,0.7,2012
2,Clínica Sanatorio Alemán,2,4,100,0,0.5,2012
3,Ctr Anat Patol Vet CAPAVET,1,4,100,0,0.3,2012
4,Ctr Opt & Photon,2,5,100,0,0.4,2012
5,DATCO Chile,2,5,25,75,0.4,2012
6,Forestal Mininco SA,6,7,86,14,0.9,2012
7,Hospital Clínico FUSAT,1,3,100,0,0.3,2012
8,Hospital Guillermo Grant Benavente,4,11,70,30,0.4,2012
9,Hospital Las Higueras,1,1,100,0,1.0,2012
10,Hospital Regional de Concepción,8,16,50,50,0.5,2012
11,Hospital Regional de Rancagua,3,4,100,0,0.8,2012
12,Hospital Regional de Talca,2,2,50,50,1.0,2012
13,Instituto de Investigaciones Agropecuarias,3,4,50,50,0.8,2012
14,Inst Invest Pesquera INPESCA,6,3,33,67,2.0,2012
15,Universidad Adventista de Chile,1,1,100,0,1.0,2012
16,Universidad Autónoma de Chile,6,4,75,25,1.5,2012
17,Universidad Católica de la Santísima Concepción,58,69,66,34,0.8,2012
18,Universidad Católica del Maule,43,50,63,37,0.9,2012
19,Universidad de Chile,1,1,0,100,1.0,2012
20,Universidad de Concepción,878,1113,64,36,0.8,2012
21,Universidad de la Frontera,1,1,0,100,1.0,2012
22,Universidad de Talca,179,224,75,25,0.8,2012
23,Universidad del Bío Bío,102,113,63,37,0.9,2012
24,Universidad del Desarrollo,15,20,72,28,0.8,2012
25,Universidad Nacional Andrés Bello,7,7,43,57,1.0,2012
26,Universidad San Sebastián,8,8,50,50,1.0,2012
27,Universidad Santo Tomás,1,1,100,0,1.0,2012
28,Universidad Técnica Federico Santa María,1,1,100,0,1.0,2012
29,Centro de Biotecnologia Acuicola,1,4,25,75,0.3,2012
30,Centro de Estudios Avanzados en Fruticultura,5,9,75,25,0.6,2012
31,Centro de Investigacion de Polimeros Avanzados,16,7,50,50,2.3,2012
32,Centro de Optica y Fotonica,9,6,80,20,1.5,2012
33,Centro de Salud Familiar,1,1,0,100,1.0,2012
34,Comision Nacional de Investigacion Cientifica y Tecnologica,1,1,100,0,1.0,2012
35,Hospital del Trabajador,1,1,100,0,1.0,2012
36,Instituto de Investigaciones Agropecuarias,16,23,62,38,0.7,2012
37,Instituto Forestal,1,1,100,0,1.0,2012
38,Servicio Nacional de Pesca y Acuicultura,1,1,100,0,1.0,2012
39,Consorcio Genómica Forestal,3,4,50,50,0.8,2012
40,Museo Historia Natural de Concepción,1,1,100,0,1.0,2012
0,Bioforest SA,3,3,100,0,1.0,2013
1,Chilean Forest Inst INFOR,1,1,0,100,1.0,2013
2,Clínica Sanatorio Alemán,1,1,0,0,1.0,2013
3,Centro de investigación Oceanográfica en el Pacífico Sur Oriental,3,7,100,0,0.4,2013
4,Corp Nacl Cobre,1,1,100,0,1.0,2013
5,Corp Nacl Forestal,1,1,0,100,1.0,2013
6,DATCO Chile,2,1,0,100,2.0,2013
7,Forestal Mininco SA,4,3,67,33,1.3,2013
8,Hospital Guillermo Grant Benavente,5,3,50,50,1.7,2013
9,Hospital Las Higueras,3,6,40,60,0.5,2013
10,Hospital Regional de Concepción,1,4,100,0,0.3,2013
11,Hospital Regional de Rancagua,2,3,100,0,0.7,2013
12,Hospital Regional de Talca,8,18,71,29,0.4,2013
13,Instituto de Investigaciones Agropecuarias,1,1,100,0,1.0,2013
14,Inst Invest Pesquera INPESCA,3,7,86,14,0.4,2013
15,Lab Ingn Acuicola Irene Lepez Ltda,1,3,33,67,0.3,2013
16,Lab Proc Oceanog & Clima,2,2,0,100,1.0,2013
17,Red Conservacionista Patrimonio Nat Contulmo,1,1,100,0,1.0,2013
18,Universidad Adventista de Chile,2,2,100,0,1.0,2013
19,Universidad Autónoma de Chile,4,5,80,20,0.8,2013
20,Universidad Católica de la Santísima Concepción,50,54,66,34,0.9,2013
21,Universidad Católica del Maule,50,73,67,33,0.7,2013
22,Universidad de Chile,1,4,25,75,0.3,2013
23,Universidad de Concepción,854,1075,65,35,0.8,2013
24,Universidad de la Frontera,1,1,0,100,1.0,2013
25,Universidad de Talca,239,269,70,30,0.9,2013
26,Universidad del Bío Bío,137,142,70,30,1.0,2013
27,Universidad del Desarrollo,18,15,80,20,1.2,2013
28,Universidad Nacional Andrés Bello,9,8,50,50,1.1,2013
29,Universidad San Sebastián,4,3,33,67,1.3,2013
30,Universidad Santo Tomás,6,6,80,20,1.0,2013
31,Astilleros y Maestranza de La Armada,1,2,100,0,0.5,2013
32,Centro de Estudios Avanzados en Fruticultura,11,10,67,33,1.1,2013
33,Centro de Investigacion de Polimeros Avanzados,9,11,40,60,0.8,2013
34,Centro Nacional de Investigacion para la Gestion Integrada de Desastres Naturales,1,3,100,0,0.3,2013
35,Centro de Ciencia del Clima y la Resiliencia,1,2,0,100,0.5,2013
36,Instituto de Investigaciones Agropecuarias,21,29,72,28,0.7,2013
37,Universidad de Aconcagua,1,1,100,0,1.0,2013
38,Centro Interdisciplinario de Investigación en Acuicultura Sustentable,26,9,100,0,2.9,2013
39,Núcleo Milenio de Investigación en Economía Ambiental y Recursos Naturales,1,1,100,0,1.0,2013
40,Museo Regional de Rancagua,1,1,100,0,1.0,2013
41,Iniciativa Científica Milenio,1,1,100,0,1.0,2013
42,Centro de Estudios en Alimentos Procesados,3,3,100,0,1.0,2013
0,Asociación Chilena de Seguridad,3,1,100,0,3.0,2014
1,Bioforest SA,3,2,50,50,1.5,2014
2,Clínica Alemana,1,1,100,0,1.0,2014
3,Clínica Sanatorio Alemán,1,1,100,0,1.0,2014
4,Consultorio Pudahuel,1,1,100,0,1.0,2014
5,Centro de investigación Oceanográfica en el Pacífico Sur Oriental,1,2,50,50,0.5,2014
6,Corp Nacl Forestal,1,1,0,100,1.0,2014
7,Forestal Mininco SA,2,3,67,33,0.7,2014
8,Hospital Clínico FUSAT,4,1,0,100,4.0,2014
9,Hospital Clínico Herminda Martin,2,2,50,50,1.0,2014
10,Hospital Guillermo Grant Benavente,4,8,63,38,0.5,2014
11,Hospital Las Higueras,2,4,75,25,0.5,2014
12,Hospital Regional de Rancagua,1,1,0,0,1.0,2014
13,Hospital Regional de Talca,4,4,100,0,1.0,2014
14,Instituto de Investigaciones Agropecuarias,1,1,0,100,1.0,2014
15,Inst Chile,1,1,100,0,1.0,2014
16,Inst Forestal INFOR,1,6,83,17,0.2,2014
17,Inst Invest Pesquera INPESCA,3,3,100,0,1.0,2014
18,MELISA Inst,1,4,67,33,0.3,2014
19,Pontificia Universidad Católica de Chile,1,1,100,0,1.0,2014
20,Servicio Agrícola y Ganadero,1,1,100,0,1.0,2014
21,Servicio Médico Legal,1,1,100,0,1.0,2014
22,SUMIRCO,3,1,100,0,3.0,2014
23,Universidad Autónoma de Chile,22,15,67,33,1.5,2014
24,Universidad Católica de la Santísima Concepción,74,87,63,37,0.9,2014
25,Universidad Católica del Maule,51,56,74,26,0.9,2014
26,Universidad de Chile,1,1,100,0,1.0,2014
27,Universidad de Concepción,885,1109,65,35,0.8,2014
28,Universidad de la Frontera,1,1,100,0,1.0,2014
29,Universidad de Talca,281,307,77,23,0.9,2014
30,Universidad del Bío Bío,149,149,75,25,1.0,2014
31,Universidad del Desarrollo,18,19,72,28,0.9,2014
32,Universidad Diego Portales,1,1,100,0,1.0,2014
33,Universidad Nacional Andrés Bello,11,10,80,20,1.1,2014
34,Universidad Pedro de Valdivia,1,3,33,67,0.3,2014
35,Universidad San Sebastián,13,16,56,44,0.8,2014
36,Universidad Santo Tomás,9,15,79,21,0.6,2014
37,Centro de Ciencias Ambientales,1,1,0,0,1.0,2014
38,Centro de Desarrollo Urbano Sustentable,1,2,100,0,0.5,2014
39,Centro de Estudios Avanzados en Fruticultura,4,12,73,27,0.3,2014
40,Centro de Investigacion de Polimeros Avanzados,18,13,73,27,1.4,2014
41,Centro de Salud Familiar,1,1,0,100,1.0,2014
42,Centro de Ciencia del Clima y la Resiliencia,2,3,33,67,0.7,2014
43,Hospital Naval Almirante Adriazola,1,1,100,0,1.0,2014
44,Instituto de Ecologia y Biodiversidad,1,1,100,0,1.0,2014
45,Instituto de Investigaciones Agropecuarias,10,12,75,25,0.8,2014
46,Instituto Forestal,1,2,100,0,0.5,2014
47,Consorcio Genómica Forestal,2,4,75,25,0.5,2014
48,Centro Interdisciplinario de Investigación en Acuicultura Sustentable,51,22,90,10,2.3,2014
49,Instituto Milenio de Oceanografía,2,1,100,0,2.0,2014
50,Núcleo Milenio de Investigación en Economía Ambiental y Recursos Naturales,1,4,100,0,0.3,2014
51,Centro de Estudios en Alimentos Procesados,1,1,100,0,1.0,2014
0,Asociación Chilena de Seguridad,2,1,100,0,2.0,2015
1,Bioforest SA,2,2,100,0,1.0,2015
2,Centro de investigación Oceanográfica en el Pacífico Sur Oriental,1,2,100,0,0.5,2015
3,Corp Nacl Cobre,1,1,100,0,1.0,2015
4,Forestal Mininco SA,2,2,50,50,1.0,2015
5,Hospital Clínico Herminda Martin,1,2,0,0,0.5,2015
6,Hospital Las Higueras,6,8,80,20,0.8,2015
7,Hospital Regional de Concepción,6,7,50,50,0.9,2015
8,Hospital Regional de Rancagua,3,4,100,0,0.8,2015
9,Hospital Regional de Talca,7,15,55,45,0.5,2015
10,Instituto de Investigaciones Agropecuarias,2,2,50,50,1.0,2015
11,Inst Forestal INFOR,1,1,0,100,1.0,2015
12,Inst Invest Pesquera INPESCA,1,1,100,0,1.0,2015
