,Institución,# Publicaciones,# Autores,% Hombre,% Mujer,Producción Per Cápita,año
13,MELISA Inst,2,4,75,25,0.5,2015
14,Pontificia Universidad Católica de Chile,3,3,0,100,1.0,2015
15,SEPADE,1,1,100,0,1.0,2015
16,SUMIRCO,1,1,100,0,1.0,2015
17,Universidad Adventista de Chile,1,1,100,0,1.0,2015
18,Universidad Austral de Chile,2,2,0,100,1.0,2015
19,Universidad Autónoma de Chile,52,35,76,24,1.5,2015
20,Universidad Católica de la Santísima Concepción,83,74,59,41,1.1,2015
21,Universidad Católica del Maule,63,70,76,24,0.9,2015
22,Universidad Católica del Norte,1,1,0,100,1.0,2015
23,Universidad Central de Chile,1,1,0,100,1.0,2015
24,Universidad de Chile,9,11,55,45,0.8,2015
25,Universidad de Concepción,1030,1267,66,34,0.8,2015
26,Universidad de Talca,327,349,70,30,0.9,2015
27,Universidad del Bío Bío,178,195,73,27,0.9,2015
28,Universidad del Desarrollo,31,44,74,26,0.7,2015
29,Universidad Metropolitana de Ciencias de la Educación,1,1,100,0,1.0,2015
30,Universidad Nacional Andrés Bello,16,13,62,38,1.2,2015
31,Universidad Pedro de Valdivia,1,1,100,0,1.0,2015
32,Universidad San Sebastián,59,44,59,41,1.3,2015
33,Universidad Santo Tomás,17,19,72,28,0.9,2015
34,Centro de Desarrollo Urbano Sustentable,1,2,50,50,0.5,2015
35,Centro de Estudios Avanzados en Fruticultura,14,27,77,23,0.5,2015
36,Centro de Investigacion de Polimeros Avanzados,14,9,63,38,1.6,2015
37,Centro de Optica y Fotonica,2,2,100,0,1.0,2015
38,Centro Nacional de Investigacion para la Gestion Integrada de Desastres Naturales,1,3,67,33,0.3,2015
39,Centro de Ciencia del Clima y la Resiliencia,4,3,0,100,1.3,2015
40,Comision Nacional de Investigacion Cientifica y Tecnologica,4,2,100,0,2.0,2015
41,Gobernacion Maritima de Talcahuano,1,1,100,0,1.0,2015
42,Instituto de Investigaciones Agropecuarias,18,28,64,36,0.6,2015
43,Consorcio Genómica Forestal,1,1,100,0,1.0,2015
44,Observatorio Europeo Austral,2,2,100,0,1.0,2015
45,Museo Historia Natural de Concepción,2,1,100,0,2.0,2015
46,Servicio de Salud de Concepción,1,1,0,100,1.0,2015
47,Centro Interdisciplinario de Investigación en Acuicultura Sustentable,54,23,82,18,2.3,2015
48,Instituto Milenio de Oceanografía,3,5,100,0,0.6,2015
49,Núcleo Milenio de Investigación en Economía Ambiental y Recursos Naturales,1,1,100,0,1.0,2015
50,Núcleo Milenio Óptica Avanzada,2,2,100,0,1.0,2015
51,Centro de Estudios en Alimentos Procesados,3,2,50,50,1.5,2015
52,Nucleo Milenio Ecología Molecular y Aplicaciones Evolutivas en Agroecosistemas,5,7,86,14,0.7,2015
0,Bioforest SA,7,5,80,20,1.4,2016
1,Clínica Alemana,3,2,100,0,1.5,2016
2,Clínica Sanatorio Alemán,2,3,33,67,0.7,2016
3,Centro de investigación Oceanográfica en el Pacífico Sur Oriental,1,1,0,100,1.0,2016
4,Corp Nacl Forestal,1,1,0,100,1.0,2016
5,Gobierno Chile,1,1,100,0,1.0,2016
6,Hospital Clínico FUSAT,2,1,0,100,2.0,2016
7,Hospital Clínico Herminda Martin,1,1,100,0,1.0,2016
8,Hospital Guillermo Grant Benavente,4,6,67,33,0.7,2016
9,Hospital Las Higueras,4,7,60,40,0.6,2016
10,Hospital Regional de Concepción,5,11,56,44,0.5,2016
11,Hospital Regional de Talca,7,7,50,50,1.0,2016
12,Instituto de Investigaciones Agropecuarias,5,6,83,17,0.8,2016
13,Inst Fomento Pesquero IFOP,1,1,100,0,1.0,2016
14,Inst Forestal INFOR,1,1,100,0,1.0,2016
15,Inst Invest Pesquera INPESCA,2,2,50,50,1.0,2016
16,Pontificia Universidad Católica de Chile,2,1,100,0,2.0,2016
17,Pontificia Universidad Católica de Valparaíso,1,1,100,0,1.0,2016
18,Servicio Agrícola y Ganadero,1,1,100,0,1.0,2016
19,Universidad Adventista de Chile,5,4,75,25,1.3,2016
20,Universidad Autónoma de Chile,47,19,83,17,2.5,2016
21,Universidad Católica de la Santísima Concepción,105,89,67,33,1.2,2016
22,Universidad Católica del Maule,67,86,67,33,0.8,2016
23,Universidad de Chile,1,1,100,0,1.0,2016
24,Universidad de Concepción,1113,1424,65,35,0.8,2016
25,Universidad de las Américas,1,1,100,0,1.0,2016
26,Universidad de Magallanes,2,2,50,50,1.0,2016
27,Universidad de Santiago de Chile,2,2,50,50,1.0,2016
28,Universidad de Talca,340,310,75,25,1.1,2016
29,Universidad del Bío Bío,222,214,71,29,1.0,2016
30,Universidad del Desarrollo,31,29,71,29,1.1,2016
31,Universidad Nacional Andrés Bello,16,9,56,44,1.8,2016
32,Universidad San Sebastián,60,48,67,33,1.3,2016
33,Universidad Santo Tomás,26,29,62,38,0.9,2016
34,Universidad Técnica Federico Santa María,1,3,100,0,0.3,2016
35,Astilleros y Maestranza de La Armada,1,1,100,0,1.0,2016
36,Centro de Estudios Avanzados en Fruticultura,6,6,80,20,1.0,2016
37,Centro de Investigacion de Polimeros Avanzados,19,13,58,42,1.5,2016
38,Centro de Optica y Fotonica,1,7,100,0,0.1,2016
39,Centro de Recursos Hidricos para la Agricultura y la Mineria,5,8,100,0,0.6,2016
40,Centro de Ciencia del Clima y la Resiliencia,1,1,0,100,1.0,2016
41,Comision Nacional de Investigacion Cientifica y Tecnologica,6,13,77,23,0.5,2016
42,Instituto de Ecologia y Biodiversidad,1,2,100,0,0.5,2016
43,Instituto de Investigaciones Agropecuarias,24,27,74,26,0.9,2016
44,Domicilio Particular Privado,1,1,100,0,1.0,2016
45,SEREMI SALUD,1,1,100,0,1.0,2016
46,Universidad de O`Higgins,1,1,100,0,1.0,2016
47,Museo Historia Natural de Concepción,1,1,100,0,1.0,2016
48,Centro Interdisciplinario de Investigación en Acuicultura Sustentable,24,19,67,33,1.3,2016
49,Instituto Milenio de Oceanografía,6,12,58,42,0.5,2016
50,Centro de Estudios en Alimentos Procesados,3,6,67,33,0.5,2016
51,Nucleo Milenio Ecología Molecular y Aplicaciones Evolutivas en Agroecosistemas,3,3,67,33,1.0,2016
0,Bioforest SA,6,7,100,0,0.9,2017
1,Clínica Alemana,11,18,81,19,0.6,2017
2,Corp Nacl Cobre,2,4,75,25,0.5,2017
3,Forestal Mininco SA,4,3,67,33,1.3,2017
4,Hospital Clínico Herminda Martin,4,8,63,38,0.5,2017
5,Hospital Guillermo Grant Benavente,4,6,80,20,0.7,2017
6,Hospital Las Higueras,3,5,100,0,0.6,2017
7,Hospital Regional de Concepción,9,22,67,33,0.4,2017
8,Hospital Regional de Rancagua,1,2,0,0,0.5,2017
9,Hospital Regional de Talca,5,5,60,40,1.0,2017
10,Hospital San Juan de Dios,1,1,0,100,1.0,2017
11,Instituto de Investigaciones Agropecuarias,6,7,83,17,0.9,2017
12,Inst Fomento Pesquero IFOP,1,1,100,0,1.0,2017
13,Inst Forestal INFOR,1,1,100,0,1.0,2017
14,Inst Invest Pesquera INPESCA,2,4,75,25,0.5,2017
15,Museo Nacl Hist Nat,1,1,100,0,1.0,2017
16,Pontificia Universidad Católica de Valparaíso,1,1,100,0,1.0,2017
17,Servicio Agrícola y Ganadero,2,2,50,50,1.0,2017
18,Universidad Adventista de Chile,14,7,83,17,2.0,2017
19,Universidad Autónoma de Chile,70,33,75,25,2.1,2017
20,Universidad Católica de la Santísima Concepción,124,117,61,39,1.1,2017
21,Universidad Católica del Maule,93,103,62,38,0.9,2017
22,Universidad de Concepción,1103,1449,65,35,0.8,2017
23,Universidad de las Américas,1,1,0,100,1.0,2017
24,Universidad de los Andes,1,1,100,0,1.0,2017
25,Universidad de Magallanes,1,2,100,0,0.5,2017
26,Universidad de Talca,392,404,70,30,1.0,2017
27,Universidad del Bío Bío,221,265,69,31,0.8,2017
28,Universidad del Desarrollo,39,53,53,47,0.7,2017
29,Universidad Nacional Andrés Bello,29,30,62,38,1.0,2017
30,Universidad San Sebastián,66,64,51,49,1.0,2017
31,Universidad Santo Tomás,26,37,54,46,0.7,2017
32,Centro de Estudios Avanzados en Fruticultura,10,12,91,9,0.8,2017
33,Centro de Investigacion de Polimeros Avanzados,16,11,55,45,1.5,2017
34,Centro de Investigacion en Ecosistemas de la Patagonia,1,1,0,100,1.0,2017
35,Centro de Recursos Hidricos para la Agricultura y la Mineria,1,2,50,50,0.5,2017
36,Centro de Ciencia del Clima y la Resiliencia,1,3,0,100,0.3,2017
37,Comision Nacional de Investigacion Cientifica y Tecnologica,2,2,100,0,1.0,2017
38,Hospital Naval Almirante Adriazola,1,1,100,0,1.0,2017
39,Instituto de Ecologia y Biodiversidad,2,2,100,0,1.0,2017
40,Instituto de Investigaciones Agropecuarias,13,18,82,18,0.7,2017
41,Instituto Forestal,1,2,0,0,0.5,2017
42,Servicio Nacional de Pesca y Acuicultura,1,1,100,0,1.0,2017
43,Universidad de O`Higgins,16,12,91,9,1.3,2017
44,Centro Interdisciplinario de Investigación en Acuicultura Sustentable,32,58,72,28,0.6,2017
45,Núcleo Milenio Centro para el Impacto Socioeconómico de las Políticas Ambientales,1,2,50,50,0.5,2017
46,Núcleo Milenio de Salmónidos Invasores,2,3,50,50,0.7,2017
47,Núcleo Milenio el Ciclo Sísmico a lo largo de Zonas de Subducción,2,1,0,0,2.0,2017
48,Núcleo Milenio de Investigación en Economía Ambiental y Recursos Naturales,1,1,100,0,1.0,2017
49,Servicio de Salud del Maule,4,5,20,80,0.8,2017
50,Centro de Estudios en Alimentos Procesados,4,3,100,0,1.3,2017
0,Bioforest SA,7,8,75,25,0.9,2018
1,Clínica Alemana,3,3,33,67,1.0,2018
2,Clínica Sanatorio Alemán,4,6,80,20,0.7,2018
3,Corp Nacl Forestal,1,1,0,100,1.0,2018
4,Forestal Mininco SA,1,1,100,0,1.0,2018
5,Hospital Clínico Herminda Martin,1,3,0,100,0.3,2018
6,Hospital Guillermo Grant Benavente,4,7,86,14,0.6,2018
7,Hospital Las Higueras,5,3,67,33,1.7,2018
8,Hospital Regional de Concepción,6,14,82,18,0.4,2018
9,Hospital Regional de Rancagua,2,2,0,100,1.0,2018
10,Hospital Regional de Talca,9,14,64,36,0.6,2018
11,Instituto de Investigaciones Agropecuarias,8,8,75,25,1.0,2018
12,Inst Forestal INFOR,2,4,100,0,0.5,2018
13,Servicio Agrícola y Ganadero,2,2,100,0,1.0,2018
14,Universidad Adventista de Chile,13,6,83,17,2.2,2018
15,Universidad Autónoma de Chile,105,46,81,19,2.3,2018
16,Universidad Católica de la Santísima Concepción,186,149,71,29,1.2,2018
17,Universidad Católica del Maule,132,154,69,31,0.9,2018
18,Universidad de Concepción,1207,1544,65,35,0.8,2018
19,Universidad de las Américas,1,1,100,0,1.0,2018
20,Universidad de Magallanes,5,3,67,33,1.7,2018
21,Universidad de Talca,369,420,76,24,0.9,2018
22,Universidad del Bío Bío,276,314,74,26,0.9,2018
23,Universidad del Desarrollo,66,80,60,40,0.8,2018
24,Universidad Nacional Andrés Bello,27,32,57,43,0.8,2018
25,Universidad Pedro de Valdivia,1,1,100,0,1.0,2018
26,Universidad San Sebastián,73,50,61,39,1.5,2018
27,Universidad Santo Tomás,15,14,71,29,1.1,2018
28,Universidad Técnica Federico Santa María,2,4,100,0,0.5,2018
29,Astilleros y Maestranza de La Armada,1,2,100,0,0.5,2018
30,Centro de Estudios Avanzados en Fruticultura,5,11,75,25,0.5,2018
31,Centro de Investigacion de Polimeros Avanzados,12,8,50,50,1.5,2018
32,Centro de Recursos Hidricos para la Agricultura y la Mineria,3,7,86,14,0.4,2018
33,Centro de Ciencia del Clima y la Resiliencia,1,1,0,100,1.0,2018
34,Instituto de Ecologia y Biodiversidad,2,2,100,0,1.0,2018
35,Instituto de Investigaciones Agropecuarias,19,15,80,20,1.3,2018
36,Universidad de O`Higgins,36,29,79,21,1.2,2018
37,Centro Interdisciplinario de Investigación en Acuicultura Sustentable,19,31,74,26,0.6,2018
38,Instituto Milenio de Investigación sobre los Fundamentos de los Datos,1,1,0,100,1.0,2018
39,Instituto Milenio de Oceanografía,8,10,80,20,0.8,2018
40,Núcleo Milenio de Enfermedades asociadas a Canales Iónicos,1,1,0,100,1.0,2018
41,Núcleo Milenio de Salmónidos Invasores,26,20,79,21,1.3,2018
42,Núcleo Milenio el Ciclo Sísmico a lo largo de Zonas de Subducción,12,3,100,0,4.0,2018
43,Núcleo Milenio de Investigación en Economía Ambiental y Recursos Naturales,1,2,100,0,0.5,2018
44,Centro de Estudios en Alimentos Procesados,2,2,100,0,1.0,2018
0,Bioforest SA,9,9,100,0,1.0,2019
1,Clínica Alemana,6,9,100,0,0.7,2019
2,Clínica Sanatorio Alemán,2,2,100,0,1.0,2019
3,Corp Nacl Forestal,2,2,0,100,1.0,2019
4,Forestal Mininco SA,1,1,0,100,1.0,2019
5,Hospital Clínico Herminda Martin,1,2,0,100,0.5,2019
6,Hospital Guillermo Grant Benavente,9,12,73,27,0.8,2019
7,Hospital Las Higueras,10,20,73,27,0.5,2019
8,Hospital Regional de Concepción,8,19,81,19,0.4,2019
9,Hospital Regional de Rancagua,4,5,0,100,0.8,2019
10,Hospital Regional de Talca,1,1,100,0,1.0,2019
11,Instituto de Investigaciones Agropecuarias,8,9,67,33,0.9,2019
12,Inst Forestal INFOR,1,4,100,0,0.3,2019
13,Inst Invest Pesquera INPESCA,1,1,100,0,1.0,2019
14,Servicio Agrícola y Ganadero,1,1,0,0,1.0,2019
15,Universidad Adventista de Chile,17,13,75,25,1.3,2019
16,Universidad Austral de Chile,1,1,100,0,1.0,2019
17,Universidad Autónoma de Chile,109,51,70,30,2.1,2019
18,Universidad Católica de la Santísima Concepción,251,201,71,29,1.2,2019
19,Universidad Católica del Maule,211,227,65,35,0.9,2019
20,Universidad de Concepción,1289,1862,65,35,0.7,2019
21,Universidad de las Américas,1,1,0,100,1.0,2019
22,Universidad de Talca,421,487,74,26,0.9,2019
23,Universidad del Bío Bío,271,300,72,28,0.9,2019
24,Universidad del Desarrollo,41,46,72,28,0.9,2019
25,Universidad Nacional Andrés Bello,29,26,48,52,1.1,2019
26,Universidad San Sebastián,82,73,60,40,1.1,2019
27,Universidad Santo Tomás,19,17,75,25,1.1,2019
28,Universidad Técnica Federico Santa María,5,5,67,33,1.0,2019
29,Centro de Estudios Avanzados en Fruticultura,8,10,60,40,0.8,2019
30,Centro de Investigacion de Polimeros Avanzados,11,10,60,40,1.1,2019
31,Centro de Recursos Hidricos para la Agricultura y la Mineria,4,6,67,33,0.7,2019
32,Centro de Ciencia del Clima y la Resiliencia,1,1,0,100,1.0,2019
33,Comision Nacional de Investigacion Cientifica y Tecnologica,1,1,100,0,1.0,2019
34,Instituto de Ecologia y Biodiversidad,3,5,60,40,0.6,2019
35,Instituto de Investigaciones Agropecuarias,15,24,82,18,0.6,2019
36,Universidad de O`Higgins,64,47,76,24,1.4,2019
37,Centro Interdisciplinario de Investigación en Acuicultura Sustentable,21,38,68,32,0.6,2019
38,Instituto Milenio de Oceanografía,3,5,75,25,0.6,2019
39,Núcleo Milenio de Enfermedades asociadas a Canales Iónicos,1,1,100,0,1.0,2019
40,Núcleo Milenio de Salmónidos Invasores,29,11,73,27,2.6,2019
41,Núcleo Milenio el Ciclo Sísmico a lo largo de Zonas de Subducción,1,1,0,0,1.0,2019
42,Centro de Estudios en Alimentos Procesados,3,6,67,33,0.5,2019
0,Bioforest SA,2,5,100,0,0.4,2020
1,Clínica Alemana,6,6,17,83,1.0,2020
2,Clínica Sanatorio Alemán,2,7,40,60,0.3,2020
3,Forestal Mininco SA,1,2,50,50,0.5,2020
4,Hospital Guillermo Grant Benavente,1,2,0,100,0.5,2020
5,Hospital Las Higueras,4,13,88,13,0.3,2020
6,Hospital Regional de Talca,1,1,100,0,1.0,2020
7,Instituto de Investigaciones Agropecuarias,4,7,57,43,0.6,2020
8,Inst Forestal INFOR,3,4,50,50,0.8,2020
9,Inst Invest Pesquera INPESCA,2,1,100,0,2.0,2020
10,Universidad Adventista de Chile,6,6,60,40,1.0,2020
11,Universidad Autónoma de Chile,39,26,77,23,1.5,2020
12,Universidad Católica de la Santísima Concepción,95,91,73,27,1.0,2020
13,Universidad Católica del Maule,63,73,78,22,0.9,2020
14,Universidad Católica del Norte,1,1,100,0,1.0,2020
15,Universidad de Concepción,425,721,67,33,0.6,2020
16,Universidad de Talca,145,196,77,23,0.7,2020
17,Universidad del Bío Bío,113,139,74,26,0.8,2020
18,Universidad del Desarrollo,17,18,67,33,0.9,2020
19,Universidad Nacional Andrés Bello,15,20,59,41,0.8,2020
20,Universidad Pedro de Valdivia,1,1,0,100,1.0,2020
21,Universidad San Sebastián,32,34,53,47,0.9,2020
22,Universidad Santo Tomás,4,8,50,50,0.5,2020
23,Centro de Estudios Avanzados en Fruticultura,1,4,75,25,0.3,2020
24,Centro de Investigacion de Polimeros Avanzados,12,9,50,50,1.3,2020
25,Centro de Investigacion en Ecosistemas de la Patagonia,1,1,0,0,1.0,2020
26,Centro de Recursos Hidricos para la Agricultura y la Mineria,5,4,100,0,1.3,2020
27,Instituto de Ecologia y Biodiversidad,1,1,100,0,1.0,2020
28,Instituto de Investigaciones Agropecuarias,7,21,79,21,0.3,2020
29,Universidad de O`Higgins,17,20,67,33,0.9,2020
30,Centro Interdisciplinario de Investigación en Acuicultura Sustentable,2,4,100,0,0.5,2020
31,Instituto Milenio de Oceanografía,4,7,57,43,0.6,2020
32,Núcleo Milenio de Salmónidos Invasores,2,6,50,50,0.3,2020
